ID;Strecke;Netz;Kategorie;Specialcase;Uumzuleitenden Züge;Verspätungen = / > 5 Minuten;Zugausfälle;Zugvorplanfahrten;gesamte Veränderungen;abweichende / ausfallende Verkehrshalte;Zugbezogende Reglungen; örtliche Leistungen;KiGBAU;Maßnahmenart;Dauer in Tagen;Minuten
23917;131;Netz Mitte;K1;1;0;0;2;0;2;0;0;1;1;B;1;143
23918;131;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;1;101
23918;134;Netz Nord;K1;1;0;0;0;0;0;0;0;0;0;B;1;71
23946;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;1;18
23968;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;0;B;1;50
23974;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;0;B;2;90
23977;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;0;B;3;45
23979;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;0;B;7;85
23980;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;0;B;2;46
23983;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;0;B;2;45
23988;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;1;61
23999;104;Netz Ost;K1;1;1;2;0;0;3;1;0;1,5;1;B;3;164
24061;145B;Netz Ost;K1;1;0;0;8;0;8;1;0;4;1;B;2;169
24103;140;Netz Ost;K1;1;0;0;3;0;3;0;0;1,5;1;B;4;163
24125;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;2;18
24136;103;Netz Mitte;K1;1;6;2;0;0;8;0;0;4;0;B;2;51
24149;103;Netz Mitte;K1;1;0;0;3;0;3;0;0;1,5;1;B;2;78
24150;145B;Netz Ost;K1;1;0;4;12;0;16;0;0;8;1;B;6;113
24151;130;Netz West;K1;1;0;2;0;0;2;0;0;1;1;B;5;53
24171;103;Netz Mitte;K5;1;184;0;0;0;184;184;184;184;1;B;4;411
24187;104;Netz Ost;K1;1;0;7;0;0;7;0;0;3,5;1;B;3;83
24189;104;Netz Ost;K1;1;0;3;4;0;7;0;0;3,5;1;B;5;111
24195;134;Netz Nord;K1;1;0;0;1;0;1;0;0;0,5;1;B;1;108
24196;145A;Netz Ost;K1;1;0;0;2;0;2;0;0;1;1;B;1;113
24231;103;Netz Mitte;K1;1;0;2;0;0;2;0;0;1;1;B;2;13
24234;103;Netz Mitte;K1;1;0;4;0;0;4;0;0;2;1;B;1;13
24237;104;Netz Ost;K1;1;0;2;2;0;4;0;0;2;1;B;2;103
31101;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31102;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31103;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31104;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
